coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Nov 01 03:52:30 +0000 2020,covid19 coronavirus India Updates,,,1,1322748323883847680,,,,en,,,0,,,,"Covid19 Updates(INDIA)

Last updated on : 01/11/2020 07:54:12

Today's Report:
New Cases : 0
New Recoveries: 0
New Deaths: 0

Overall:
Total : 81,82,896
Recovered : 74,89,227
Active : 5,70,093
Deaths : 1,22,149

#covid19 #coronavirus #India #Updates",https://twitter.com/covid19tweetz/status/1322748323883847680,Fri Jul 03 09:19:56 +0000 2020,covid19tweetz,false,"A bot that gives information about latest Covid-19 cases in INDIA!
Made by @VikramBorana20.
Data from https://t.co/pNAmvDp3fz",0,29,1,0,Bengaluru,Covid19 tweetz,covid19tweetz,690,,https://github.com/vikramborana,false
,Sun Nov 01 03:52:33 +0000 2020,,,https://twitter.com/CTVNews/status/1322681443261255680,0,1322748335359492097,,,,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",facts https://t.co/5DXIJQBXP8,https://twitter.com/mujilmi/status/1322748335359492097,Sun Oct 09 02:55:44 +0000 2011,mujilmi,false,"Müj Í. | Linguistics (speak:uzbek, farsi (dari), english:) 
inspired by nature 🌵 Pronouns (ú-او)
Canadian🇨🇦 and a nomad. 
#freedomofmovement",930,34,225,0,"Toronto, Ontario",Sunatera,mujilmi,299,,https://www.wellnessyogaacademy.ca/,false
,Sun Nov 01 03:53:15 +0000 2020,,,,0,1322748512883429377,Scaramucci,1322712141498036200,24578794,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Scaramucci This is disgusting! America if we vote him in for another 4 years, we’re fucked! 
1. Women’s right - gone
2. LGBTQ rights - gone
3. Black and Brown rights - marginalized further
During trump’s time, both North Korea and Iran have nuclear capabilities! 
Covid-19 record deaths!",https://twitter.com/jim_minion/status/1322748512883429377,Wed Aug 05 22:05:06 +0000 2009,jim_minion,false,Don’t follow! Don’t comment! Don’t retweet! I don’t need or want your approval! *Trumpers are in a CULT!*,4427,17,252,0,None of your business!,minion - tRump is a LOSER!!,jim_minion,2928,,http://AmericaRunbyAFacist.com,false
,Sun Nov 01 03:52:49 +0000 2020,Covid19 COVID19 West CoronavirusPandemic COVID19India coronavirus IndiaFightsCorona StayHome StaySafe,https://twitter.com/pihole_fosser/status/1322748402753540098/photo/1,,0,1322748402753540098,,,,en,,false,0,,,"<a href=""https://pihole.in"" rel=""nofollow"">fosserjo_pihole</a>","#Covid19 bot 
#COVID19 last 5 days stats #West Bengal
Confirmed Cases trend
27-Oct - 3917
28-Oct - 3925
29-Oct - 3945
30-Oct - 4015
31-Oct - 4049
#CoronavirusPandemic #COVID19India #coronavirus #IndiaFightsCorona #StayHome #StaySafe https://t.co/ZlbhG8Hg2R",https://twitter.com/pihole_fosser/status/1322748402753540098,Tue May 17 12:53:37 +0000 2016,pihole_fosser,false,"Raspberry Pi bot, Covid 19 India Bot",5,0,5,1,,Fosserjo Pihole,pihole_fosser,27301,,,false
,Sun Nov 01 03:52:24 +0000 2020,,https://twitter.com/gorn_the/status/1322748296432144385/photo/1,https://twitter.com/axios/status/1322626249533972480,0,1322748296432144385,,,,en,,false,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Stupid is as stupid does. https://t.co/nctSd6GbfY https://t.co/GQJoMSigeP,https://twitter.com/gorn_the/status/1322748296432144385,Fri Jun 26 13:39:32 +0000 2009,gorn_the,false,"TRUMP LOST, FAIR AND SQUARE. GET OVER IT.",31657,1772,3861,3,,The Gorn,gorn_the,42684,,,false
,Sun Nov 01 03:53:08 +0000 2020,,,https://twitter.com/EthanBearman/status/1322746235959222273,0,1322748483850407936,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This guy lives in Edina, right? https://t.co/vWpccllpkw",https://twitter.com/talkette/status/1322748483850407936,Thu Mar 05 06:31:58 +0000 2009,talkette,false,"AKA: Kelly from Lino Lakes. Political junkie. 
#NHL, #NASCAR, Boxing-no MMA, 
Wanna-be pro-poker player. Little Lebowski Urban Achiever. Tweets are my own.",31617,1798,2316,56,"Lino Lakes, MN",NASCAR Kelly,talkette,33745,,,false
,Sun Nov 01 03:53:16 +0000 2020,Covid19,,,0,1322748515731173376,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Please vaccine,come on time,yea!  #Covid19",https://twitter.com/AswadAzizan/status/1322748515731173376,Mon May 20 14:58:10 +0000 2013,AswadAzizan,false,"Random tweet,keep learning #StayHungryStayFoolish #KandaPujaanDinda",80266,333,2079,12,"Selangor, Malaysia 🇲🇾",Remy Aswad,AswadAzizan,52055,,,false
,Sun Nov 01 03:52:22 +0000 2020,MurdererInChief,https://twitter.com/LaylaFanucci/status/1322748291839262723/photo/1,,0,1322748291839262723,realDonaldTrump,1322721277875048400,25073877,en,,true,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@realDonaldTrump A group of Stanford University economists estimates that there have been at least 30,000 coronavirus infections and 700 deaths as a result of 18 campaign rallies President Trump held between June and September. #MurdererInChief https://t.co/xhn7htADUA",https://twitter.com/LaylaFanucci/status/1322748291839262723,Wed Nov 16 12:59:30 +0000 2011,LaylaFanucci,false,Layla Fanucci is an International Artist and author most famous for her unique cityscapes paintings.,30547,385,551,8,"St Helena, California",Layla Fanucci,LaylaFanucci,95534,,http://laylafanucci.com,false
,Sun Nov 01 03:52:32 +0000 2020,Covid19 COVID19 West CoronavirusPandemic COVID19India coronavirus IndiaFightsCorona StayHome StaySafe,https://twitter.com/pihole_fosser/status/1322748331634905089/photo/1,,0,1322748331634905089,,,,en,,false,0,,,"<a href=""https://pihole.in"" rel=""nofollow"">fosserjo_pihole</a>","#Covid19 bot 
#COVID19 last 5 days stats #West Bengal
Confirmed Cases trend
27-Oct - 0
28-Oct - 0
29-Oct - 0
30-Oct - 0
31-Oct - 0
#CoronavirusPandemic #COVID19India #coronavirus #IndiaFightsCorona #StayHome #StaySafe https://t.co/rWSOqgNXKQ",https://twitter.com/pihole_fosser/status/1322748331634905089,Tue May 17 12:53:37 +0000 2016,pihole_fosser,false,"Raspberry Pi bot, Covid 19 India Bot",5,0,5,1,,Fosserjo Pihole,pihole_fosser,27301,,,false
,Sun Nov 01 03:52:51 +0000 2020,WindsorSquare LosAngeles trickortreating virtual epidmeiologist Covid19,https://twitter.com/PCSSafetyAlerts/status/1322748413314621441/photo/1,,0,1322748413314621441,,,,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Living in #WindsorSquare #LosAngeles the largest &amp; historic #trickortreating neighborhoods all went #virtual. As an #epidmeiologist, I am happy to see as it is much safer due to #Covid19. Thank you parents. See you next year! Keep Safe! @WHO @ABC7Veronica @CAPublicHealth https://t.co/PruJjaDDAW",https://twitter.com/PCSSafetyAlerts/status/1322748413314621441,Tue Oct 20 18:37:53 +0000 2020,PCSSafetyAlerts,false,Public health evidenced-based injury prevention awareness to keep you and your family physically safe and emotionally healthy. Media 202-503-9391,261,25,417,1,Washington DC  *  Los Angeles,Pro Consumer Safety,PCSSafetyAlerts,311,,http://www.procarseatsafety.com/,false
,Sun Nov 01 03:53:09 +0000 2020,longcovid covid19,,,0,1322748486048190468,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",That’s what #longcovid and #covid19 feels like. It feels like you are suffocating. Because you cannot breathe. Do you want that to happen to you? Do you want to suffocate ?,https://twitter.com/C_BellaCreative/status/1322748486048190468,Fri Mar 25 13:25:17 +0000 2011,C_BellaCreative,false,"CristinellaBella, Pepino, and Antonio are IP of Cristinella Inc., Studios, a subsidiary of ALOEAmantea Entertainment. https://t.co/fNcfR8gKiz",600,57,85,3,United States,Cristinella.Bella.Creative,C_BellaCreative,6767,,http://www.cristinellabella.com,false
,Sun Nov 01 03:53:21 +0000 2020,,,https://exbulletin.com/world/513059/,0,1322748538372194305,,,,en,,false,0,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Iran closes mosques, schools in the third deadly wave of coronavirus https://t.co/4Fx2RwjWi6",https://twitter.com/ExBulletinUk/status/1322748538372194305,Sat Jul 29 19:40:31 +0000 2017,ExBulletinUk,false,"About https://t.co/evFOSu5SPB
ExBulletin is a Free News Media Website, Which delivers its user free verified news from verified sources worldwide.",223,165,9,2,UK,ExBulletin,ExBulletinUk,263945,,https://exbulletin.com,false
,Sun Nov 01 03:52:59 +0000 2020,,,,5,1322748444184817664,SelenaSmartArse,1322708760897478700,779031698365448200,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@SelenaSmartArse @archied009 @JuliaHB1 Presumably in return for your freedom you'd reject NHS care if you contracted Covid-19 and let the virus take its course?,https://twitter.com/marktewk/status/1322748444184817664,Thu May 07 22:28:43 +0000 2009,marktewk,false,Miner's son. Nichts ist einfach. Fifth columnist. 人間が問題です.  Anglicus venereum.  Республика сейчас. Русские идут! Գիտությունների մագիստրոս,10986,247,1362,0,በመካከለኛው እንግሊዝ ውስጥ ሥነ ምግባራዊ ከፍታ,𝙈𝙖𝙧𝙠 𝙋𝙤𝙭𝙤𝙣,marktewk,16155,,,false
,Sun Nov 01 03:53:15 +0000 2020,,,https://twitter.com/i/events/1322592320273829888,0,1322748511738163200,,,,en,,false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","But luckily,  no riots produced any.  

""Stanford study estimates 18 Trump rallies resulted in over 30,000 COVID-19 cases""  https://t.co/2XuwwqnRNf",https://twitter.com/TFtakeaction/status/1322748511738163200,Mon Oct 01 04:43:08 +0000 2012,TFtakeaction,false,"#MAGA #Trump2020 ‼ 🎃
Purge the activist courts. Cops, your oath is to the #Constitution, NOT courts & politicians. 🇺🇸",48943,5094,5594,11,"Idaho, USA",Trump WON‼ KATO,TFtakeaction,89163,,,false
,Sun Nov 01 03:53:09 +0000 2020,,,https://www.axios.com/putin-russia-face-masks-mandate-covid19-coronavirus-f5992eaf-a922-4668-bfa2-7022334fba37.html,0,1322748489353355264,SWAtlasHoover,1322609392487989200,900174026441580500,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@SWAtlasHoover You're going onto Russian state media, Russia instituted a mask mandate 4 days ago, and tightened existing restrictions.

The hostile nation whose media you're running to is doing more to combat covid than the richest country in the world. 
Hypocrite hack.
https://t.co/Yt9sfDyI5W",https://twitter.com/TrollhouseC/status/1322748489353355264,Fri Sep 18 02:56:09 +0000 2020,TrollhouseC,false,,5648,23,76,0,,Trollhouse Cookies,TrollhouseC,2147,,,false
,Sun Nov 01 03:52:54 +0000 2020,,,https://twitter.com/LinusKaikai/status/1322617581719748608,0,1322748424396132353,,,,en,,false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",And we are busy with gatherings. SMH. https://t.co/46M1s5PKCw,https://twitter.com/pamela_muturia/status/1322748424396132353,Sun Oct 01 07:24:03 +0000 2017,pamela_muturia,false,,1267,113,305,0,"Mombasa, Kenya",Pamela Muturia,pamela_muturia,916,,,false
,Sun Nov 01 03:52:42 +0000 2020,,https://twitter.com/martriano1/status/1322748373540261888/photo/1,,1,1322748373540261888,,,,en,,false,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","No one Trick-or-treating this Halloween. It’s sad &amp; boring, No one dressed up. 
Just something else COVID-19 took away!😶😷🙃 https://t.co/STlzEe4I9b",https://twitter.com/martriano1/status/1322748373540261888,Mon Jun 02 03:21:21 +0000 2014,martriano1,false,"21 yr. old Son Drives for UPS, husband is USPS carrier, Molly (Beagle mixed) Duke (Pitbull mixed)",10209,48,160,0,"Palm Bay, FL",Beth Martin,martriano1,8151,,,false
,Sun Nov 01 03:53:03 +0000 2020,,,https://twitter.com/dakilakim/status/1322746952363233280,6,1322748462430146562,,,,en,,false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Maybe @covidbudgetph can answer this? @KenAbante https://t.co/hvbgkf62Ri,https://twitter.com/PilosopoTanya/status/1322748462430146562,Tue Nov 16 12:57:08 +0000 2010,PilosopoTanya,false,Daming alam,89554,18861,1081,44,MNL/BCN,Nathania,PilosopoTanya,58427,,http://nathaniachua.com,false
,Sun Nov 01 03:53:05 +0000 2020,SpreaderinChief,,https://twitter.com/Surgeon_General/status/1322655232086712322,1,1322748469463797760,,,,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Can't you talk to the #SpreaderinChief? Why haven't you resigned in protest?!? https://t.co/tFeYpSwbCA,https://twitter.com/godivademaus/status/1322748469463797760,Sat Apr 26 22:02:33 +0000 2008,godivademaus,false,"1st of her name, Queen of Meowereeen, Protector of the Red Dot, kibble & catnip. The Unscratched. Some opinions follow me home so I RT them, the rest are my own",15262,3071,4573,6,Rain Forest of North America,"Catleesi, Mother of Cats, #Resist ฅ /ᐠ｡ᆽ｡ᐟ \",godivademaus,31586,,,false
,Sun Nov 01 03:52:47 +0000 2020,braindead,,https://twitter.com/krushowy/status/1322718282215018498,3,1322748396617302018,,,,en,"Kingston, Ontario",false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Yes... bonuses for administration are the critical need in education these days. #braindead https://t.co/f1Y5spFYNg,https://twitter.com/notsobigkahuna/status/1322748396617302018,Fri Jan 15 17:14:21 +0000 2010,notsobigkahuna,false,"Queen's https://t.co/05Obmar9cV. Queen's Bands, Fort Henry Guard #1127 , X Math Teacher. Proud Dad of RMC Officer Cadet MHD, what a kid! #retired. 🇨🇦 back home in #ygk",9246,1066,922,57,YGK,Alfred E. Newman,notsobigkahuna,83670,,,false
,Sun Nov 01 03:52:58 +0000 2020,Coronavirus chevron energy,,https://gn24.ae/ab6d79e20867000,0,1322748439831158785,,,,en,,false,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Chevron, Exxon shrink spending as #Coronavirus cuts demand

Exxon posts third quarterly straight loss Chevron turns profit on cost-cutting
#chevron #energy 

https://t.co/38QiTjyZKx",https://twitter.com/GulfNewsBiz/status/1322748439831158785,Wed Oct 08 10:55:08 +0000 2014,GulfNewsBiz,false,News and analysis from the Gulf News business team.,375,7868,560,187,Dubai,Gulf News Business,GulfNewsBiz,26562,,http://gulfnews.com/business,false
,Sun Nov 01 03:52:39 +0000 2020,,,https://www.politico.com/news/2020/10/31/trump-study-coronavirus-rallies-433760,0,1322748359929667586,,,,en,,false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",This us a line if crap.  YOU LIE https://t.co/oRgEM8b8S7,https://twitter.com/amberglows/status/1322748359929667586,Fri Aug 22 22:34:10 +0000 2008,amberglows,false,Lover of God...Conservative...Trump supporter fighting for our freedom !,1503,1079,2892,14,Indiana,amberglows,amberglows,32893,,,false
,Sun Nov 01 03:52:51 +0000 2020,,,https://twitter.com/SpeakerPelosi/status/1322332733125894145,37,1322748410395578371,,,,en,,false,22,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Vile woman, if it was heart wrenching to you, our suffering, why did you refuse to negotiate? You would not budge at all. You came back from break in an emergency effort to save the post office, not the American People. Now you pretend trying to cover your lack of humanity. https://t.co/gnxByA0vkd",https://twitter.com/LoyaltyLies2/status/1322748410395578371,Wed Sep 30 03:49:18 +0000 2020,LoyaltyLies2,false,"Rarely a path presents itself, a path that to start, looks curious and entertaining. When presented with a grim reality, it was always your choice to proceed...",1948,848,1376,0,,Loyalty & Lies,LoyaltyLies2,1370,,,false
,Sun Nov 01 03:53:01 +0000 2020,,,https://twitter.com/DrLiMengYAN1/status/1321555439780306957,0,1322748453735157765,graff_lina,1321488105325555700,2423328193,en,,true,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@graff_lina Dr. Yan said that a serial of SARS-CoV-2-LIKE virus published after the COVID-19 outbreak, are fabricated and non-existence in the nature. These virus make people believe nature-origin of COVID-19.
It is a large scale academic scandal done by CCP league.
https://t.co/68jMW2sJFo",https://twitter.com/Greg57907329/status/1322748453735157765,Wed Jan 23 23:25:14 +0000 2019,Greg57907329,false,"A father, A fighter, A seeker for truth.  Anger is strength. communists are cancer of human being. CCP is the evil snake.",2023,75,468,0,,Angryman,Greg57907329,1206,,,false
,Sun Nov 01 03:53:04 +0000 2020,SuperSpreaderEvents Coronavirus TrumpOnlyCaresAboutTrump,,https://twitter.com/DJJudd/status/1322688676170735616,8,1322748466020421633,,,,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TRANSLATION 
Trump says - Come to my #SuperSpreaderEvents 
Get #Coronavirus 
YA'LL can DIE after u VOTE 4 me
And they're STUPID enough to do it!!👇👇👇
#TrumpOnlyCaresAboutTrump COVIDIOTS https://t.co/nWbxofjAJs",https://twitter.com/Chewythewookie1/status/1322748466020421633,Tue Jul 17 20:02:54 +0000 2018,Chewythewookie1,false,"💚n #PHILLY 🏡 nNJ #STARWARS #Dogs🐕 #LFC_YNWA #AlwaysHRC #SBCHAMPS🦅
 #USAWNT 🇺🇸⚽️ #ITEACHIVOTE🏈⚾️🏒🥍🏳️‍🌈 #VotedThemOutNowLockThemUp #BidenHarrisWON🕶👟",66713,12851,13931,9,EAGLES NATION NJ USA #wtp2020,FLY EAGLES FLY - 4EVERw/HRC_DemocracySaved11/3/20,Chewythewookie1,67426,,,false
,Sun Nov 01 03:53:15 +0000 2020,,,https://www.nytimes.com/2020/10/22/opinion/sunday/coronavirus-united-states.html?action=click&module=Opinion&pgtype=Homepage,4,1322748513571069953,realDonaldTrump,1322748328308859000,25073877,en,,false,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@realDonaldTrump America and the Virus: ‘A Colossal Failure of Leadership’

In its destruction of American lives, treasure and well-being, this pandemic marks the greatest failure of U.S. governance since Vietnam.

https://t.co/xuIJEAq0rv",https://twitter.com/CodyIsAGoodBoy/status/1322748513571069953,Tue May 20 04:51:34 +0000 2014,CodyIsAGoodBoy,false,"Bark bark. Proud, patriotic American dog.",34207,17682,19314,86,,Cody Dog,CodyIsAGoodBoy,55089,,,false
